Tempo,H1,H2,H3,H4
0,213.0,284.0,300.0,535.0
1,213.0,284.0,300.0,535.0
2,213.0,284.0,300.0,535.0
3,213.0,284.0,300.0,535.0
4,213.0,284.0,300.0,535.0
5,213.0,284.0,300.0,535.0
6,213.0,284.0,300.0,535.0
7,213.0,284.0,300.0,535.0
8,213.0,284.0,300.0,535.0
9,213.0,284.0,300.0,535.0
10,213.0,284.0,300.0,535.0
11,213.0,284.0,300.0,535.0
12,213.0,284.0,300.0,535.0
13,213.0,284.0,300.0,535.0
14,213.0,284.0,300.0,535.0
15,213.0,284.0,300.0,535.0
16,213.0,284.0,300.0,535.0
17,213.0,284.0,300.0,535.0
18,213.0,284.0,300.0,535.0
19,213.0,284.0,300.0,535.0
20,213.0,284.0,300.0,535.0
21,213.0,284.0,300.0,535.0
22,213.0,284.0,300.0,535.0
23,213.0,284.0,300.0,535.0
