Tempo,H1,H2,H3,H4
0,132.0,85.0,503.0,342.0
1,132.0,85.0,503.0,342.0
2,132.0,85.0,503.0,342.0
3,132.0,85.0,503.0,342.0
4,132.0,85.0,503.0,342.0
5,132.0,85.0,503.0,342.0
6,132.0,85.0,503.0,342.0
7,132.0,85.0,503.0,342.0
8,132.0,85.0,503.0,342.0
9,132.0,85.0,503.0,342.0
10,132.0,85.0,503.0,342.0
11,132.0,85.0,503.0,342.0
12,132.0,85.0,503.0,342.0
13,132.0,85.0,503.0,342.0
14,132.0,85.0,503.0,342.0
15,132.0,85.0,503.0,342.0
16,132.0,85.0,503.0,342.0
17,132.0,85.0,503.0,342.0
18,132.0,85.0,503.0,342.0
19,132.0,85.0,503.0,342.0
20,132.0,85.0,503.0,342.0
21,132.0,85.0,503.0,342.0
22,132.0,85.0,503.0,342.0
23,132.0,85.0,503.0,342.0
