Tempo,H1,H2,H3,H4,H5
0,1020,834,1190,1060,394
1,804,408,543,491,396
2,535,399,193,206,395
3,106,53.7,0,206,397
4,0,0,0,207,397
5,0,0,0,206,396
6,124,0,0,206,396
7,686,236,0,204,394
8,897,1080,473,330,731
9,1020,1280,1290,1370,1120
10,1030,1300,1540,1180,1120
11,1030,1280,1540,1530,1120
12,1030,1270,1540,1510,1110
13,949,1140,1330,1410,1110
14,1020,1240,1420,1480,1690
15,1030,1260,1540,1510,2010
16,951,1140,1400,1370,2260
17,968,1140,1430,1410,2260
18,811,849,1210,996,1740
19,865,888,1270,1000,1690
20,1030,1280,1240,1160,1900
21,1020,1230,1210,1100,1360
22,1030,1150,980,963,1200
23,1030,1240,922,884,871
